latitude,longitude,PROPERTY TYPE,Furnish Type,BEDROOMS,BATHROOMS,rent
51.6007037,-0.4827608,Apartment,Unfurnished,1.0,1.0,1200
51.4870916,-0.1365107,Apartment,"Furnished or unfurnished, landlord is flexible",1.0,1.0,1983
51.5563076,-0.1192769,Apartment,Unfurnished,1.0,1.0,1800
51.544297,-0.4867629,Apartment,Unfurnished,2.0,1.0,1650
51.5791269,-0.3186406,End of Terrace,Unfurnished,3.0,2.0,2700
51.5228485,-0.13922,Flat,Furnished,2.0,1.0,3500
51.469338,-0.1835613,Flat,Furnished,2.0,2.0,4000
51.5147714,-0.1745959,Studio,Furnished,,1.0,2253
51.48630929999999,-0.1151596,Apartment,"Furnished or unfurnished, landlord is flexible",1.0,1.0,2990
51.5130433,-0.2150331,Maisonette,Furnished,2.0,1.0,2700
51.53665729999999,-0.1269392,Apartment,Furnished,2.0,2.0,3467
51.5447938,-0.19244,Flat,Unfurnished,4.0,2.0,4333
51.4721914,-0.1653343,Apartment,Furnished,2.0,2.0,3500
51.5173991,-0.1641634,Flat,Furnished,2.0,1.0,2817
51.5995673,-0.1003774,Maisonette,Unfurnished,4.0,2.0,3000
51.511459,-0.1213218,Flat,Ask agent,2.0,2.0,6067
51.511459,-0.1213218,Flat,Furnished,2.0,2.0,4984
51.5062327,-0.2311823,Studio,Furnished,,1.0,1250
51.4205589,-0.4462632,House Share,Furnished,1.0,1.0,930
51.5138095,-0.1369652,Flat,Ask agent,2.0,2.0,6500
51.511568,-0.1261878,Flat,Ask agent,2.0,1.0,6067
51.4870916,-0.1365107,Apartment,Furnished,,1.0,2088
51.476111,-0.1826413,Flat,Ask agent,2.0,2.0,8233
51.553604,-0.2299788,Apartment,Ask agent,1.0,,1746
51.476111,-0.1826413,Flat,Furnished,2.0,2.0,4312
51.5468731,-0.1202319,Apartment,"Furnished or unfurnished, landlord is flexible",1.0,1.0,2150
51.4927857,-0.1638954,Flat,Furnished,2.0,1.0,3294
51.4998835,-0.1614621,Studio,Furnished,,1.0,2579
51.5373813,-0.2000732,Apartment,Ask agent,2.0,1.0,2578
51.5110003,-0.1919776,Apartment,Ask agent,1.0,1.0,2708
51.4958169,-0.1936429,Apartment,Ask agent,2.0,2.0,4225
51.481483,-0.1782841,Apartment,Ask agent,3.0,1.0,3497
51.5317975,-0.0947904,Flat,Furnished,1.0,1.0,3100
51.5874837,-0.1068819,House Share,Furnished,1.0,1.0,1000
51.4944874,-0.2303781,Flat,Furnished,1.0,1.0,2150
51.5931314,-0.2440036,Flat,Unfurnished,1.0,1.0,1750
51.4590849,-0.2107763,Flat,Part furnished,2.0,2.0,2950
